# samples=1024  bits=12
# current: min=0 max=4095 argmin(dip pos)=501
# dip_depth: max=4095 at index 501
# idx  current  ref  dip_depth
    0   4095   4095      0
    1   4095   4095      0
    2   4095   4095      0
    3   4095   4095      0
    4   4095   4095      0
    5   4095   4095      0
    6   4095   4095      0
    7   4095   4095      0
    8   4095   4095      0
    9   4095   4095      0
   10   4095   4095      0
   11   4095   4095      0
   12   4095   4095      0
   13   4095   4095      0
   14   4095   4095      0
   15   4095   4095      0
   16   4095   4095      0
   17   4095   4095      0
   18   4095   4095      0
   19   4095   4095      0
   20   4095   4095      0
   21   4095   4095      0
   22   4095   4095      0
   23   4095   4095      0
   24   4095   4095      0
   25   4095   4095      0
   26   4095   4095      0
   27   4095   4095      0
   28   4095   4095      0
   29   4095   4095      0
   30   4095   4095      0
   31   4095   4095      0
   32   4095   4095      0
   33   4095   4095      0
   34   4095   4095      0
   35   4095   4095      0
   36   4095   4095      0
   37   4095   4095      0
   38   4095   4095      0
   39   4095   4095      0
   40   4095   4095      0
   41   4095   4095      0
   42   4095   4095      0
   43   4095   4095      0
   44   4095   4095      0
   45   4095   4095      0
   46   4095   4095      0
   47   4095   4095      0
   48   4095   4095      0
   49   4095   4095      0
   50   4095   4095      0
   51   4095   4095      0
   52   4095   4095      0
   53   4095   4095      0
   54   4095   4095      0
   55   4095   4095      0
   56   4095   4095      0
   57   4095   4095      0
   58   4095   4095      0
   59   4095   4095      0
   60   4095   4095      0
   61   4095   4095      0
   62   4095   4095      0
   63   4095   4095      0
   64   4095   4095      0
   65   4095   4095      0
   66   4095   4095      0
   67   4095   4095      0
   68   4095   4095      0
   69   4095   4095      0
   70   4095   4095      0
   71   4095   4095      0
   72   4095   4095      0
   73   4095   4095      0
   74   4095   4095      0
   75   4095   4095      0
   76   4095   4095      0
   77   4095   4095      0
   78   4095   4095      0
   79   4095   4095      0
   80   4095   4095      0
   81   4095   4095      0
   82   4095   4095      0
   83   4095   4095      0
   84   4095   4095      0
   85   4095   4095      0
   86   4095   4095      0
   87   4095   4095      0
   88   4095   4095      0
   89   4095   4095      0
   90   4095   4095      0
   91   4095   4095      0
   92   4095   4095      0
   93   4095   4095      0
   94   4095   4095      0
   95   4095   4095      0
   96   4095   4095      0
   97   4095   4095      0
   98   4095   4095      0
   99   4095   4095      0
  100   4095   4095      0
  101   4095   4095      0
  102   4095   4095      0
  103   4095   4095      0
  104   4095   4095      0
  105   4095   4095      0
  106   4095   4095      0
  107   4095   4095      0
  108   4095   4095      0
  109   4095   4095      0
  110   4095   4095      0
  111   4095   4095      0
  112   4095   4095      0
  113   4095   4095      0
  114   4095   4095      0
  115   4095   4095      0
  116   4095   4095      0
  117   4095   4095      0
  118   4095   4095      0
  119   4095   4095      0
  120   4095   4095      0
  121   4095   4095      0
  122   4095   4095      0
  123   4095   4095      0
  124   4095   4095      0
  125   4095   4095      0
  126   4095   4095      0
  127   4095   4095      0
  128   4095   4095      0
  129   4095   4095      0
  130   4095   4095      0
  131   4095   4095      0
  132   4095   4095      0
  133   4095   4095      0
  134   4095   4095      0
  135   4095   4095      0
  136   4095   4095      0
  137   4095   4095      0
  138   4095   4095      0
  139   4095   4095      0
  140   4095   4095      0
  141   4095   4095      0
  142   4095   4095      0
  143   4095   4095      0
  144   4095   4095      0
  145   4095   4095      0
  146   4095   4095      0
  147   4095   4095      0
  148   4095   4095      0
  149   4095   4095      0
  150   4095   4095      0
  151   4095   4095      0
  152   4095   4095      0
  153   4095   4095      0
  154   4095   4095      0
  155   4095   4095      0
  156   4095   4095      0
  157   4095   4095      0
  158   4095   4095      0
  159   4095   4095      0
  160   4095   4095      0
  161   4095   4095      0
  162   4095   4095      0
  163   4095   4095      0
  164   4095   4095      0
  165   4095   4095      0
  166   4095   4095      0
  167   4095   4095      0
  168   4095   4095      0
  169   4095   4095      0
  170   4095   4095      0
  171   4095   4095      0
  172   4095   4095      0
  173   4095   4095      0
  174   4095   4095      0
  175   4095   4095      0
  176   4095   4095      0
  177   4095   4095      0
  178   4095   4095      0
  179   4095   4095      0
  180   4095   4095      0
  181   4095   4095      0
  182   4095   4095      0
  183   4095   4095      0
  184   4095   4095      0
  185   4095   4095      0
  186   4095   4095      0
  187   4095   4095      0
  188   4095   4095      0
  189   4095   4095      0
  190   4095   4095      0
  191   4095   4095      0
  192   4095   4095      0
  193   4095   4095      0
  194   4095   4095      0
  195   4095   4095      0
  196   4095   4095      0
  197   4095   4095      0
  198   4095   4095      0
  199   4095   4095      0
  200   4095   4095      0
  201   4095   4095      0
  202   4095   4095      0
  203   4095   4095      0
  204   4095   4095      0
  205   4095   4095      0
  206   4095   4095      0
  207   4095   4095      0
  208   4095   4095      0
  209   4095   4095      0
  210   4095   4095      0
  211   4095   4095      0
  212   4095   4095      0
  213   4095   4095      0
  214   4095   4095      0
  215   4095   4095      0
  216   4095   4095      0
  217   4095   4095      0
  218   4095   4095      0
